trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
337,False,"{'a': 0.5, 'e': 0.5310136237405374}",20,5,-31.61102267607956,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.5284691481486513}",30,3,-94.540534593844,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 2}",1
339,False,"{'a': 0.5, 'e': 0.525919916337999}",30,5,12.007951631204852,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.5233659512516495}",20,6,-13.518022024544935,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
341,False,"{'a': 0.5, 'e': 0.5208072758752714}",25,14,8.331630975881652,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.5182439132369261}",25,2,-6.838511669209712,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.5156758864068598}",20,0,-60.219242425623484,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
344,False,"{'a': 0.5, 'e': 0.5131032184972965}",20,0,10.669850878042404,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
345,False,"{'a': 0.5, 'e': 0.5105259326622302}",30,0,-84.94081297979812,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
346,False,"{'a': 0.5, 'e': 0.507944052097216}",30,16,15.51789159386078,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.5053576000391616}",30,0,-64.79030249379673,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
348,False,"{'a': 0.5, 'e': 0.5027665997661179}",20,0,-7.866493565222676,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
349,False,"{'a': 0.5, 'e': 0.5001710745970701}",20,0,-67.94338414350136,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
350,False,"{'a': 0.5, 'e': 0.49757104789172696}",20,0,-48.73146055850953,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
351,False,"{'a': 0.5, 'e': 0.4949665430503115}",20,10,-10.59494037176337,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
352,False,"{'a': 0.5, 'e': 0.4923575835133495}",30,6,-129.4982089052567,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 2}",1
353,False,"{'a': 0.5, 'e': 0.4897441927614595}",30,8,-185.2356925113599,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 4}",1
354,False,"{'a': 0.5, 'e': 0.48712639431514015}",35,19,-79.62404241264203,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
355,False,"{'a': 0.5, 'e': 0.48450421173456026}",25,0,-82.9335994686929,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
356,False,"{'a': 0.5, 'e': 0.481877668619345}",25,0,-120.72510126944853,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
357,False,"{'a': 0.5, 'e': 0.47924678860836506}",20,10,-47.905864451819376,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
